集計年,都道府県コード,都道府県名,総人口（人）
2010,01,北海道,5506419
2010,02,青森県,1373339
2010,03,岩手県,1330147
2010,04,宮城県,2348165
2010,05,秋田県,1085997
2010,06,山形県,1168924
2010,07,福島県,2029064
2010,08,茨城県,2969770
2010,09,栃木県,2007683
2010,10,群馬県,2008068
2010,11,埼玉県,7194556
2010,12,千葉県,6216289
2010,13,東京都,13159388
2010,14,神奈川県,9048331
2010,15,新潟県,2374450
2010,16,富山県,1093247
2010,17,石川県,1169788
2010,18,福井県,806314
2010,19,山梨県,863075
2010,20,長野県,2152449
2010,21,岐阜県,2080773
2010,22,静岡県,3765007
2010,23,愛知県,7410719
2010,24,三重県,1854724
2010,25,滋賀県,1410777
2010,26,京都府,2636092
2010,27,大阪府,8865245
2010,28,兵庫県,5588133
2010,29,奈良県,1400728
2010,30,和歌山県,1002198
2010,31,鳥取県,588667
2010,32,島根県,717397
2010,33,岡山県,1945276
2010,34,広島県,2860750
2010,35,山口県,1451338
2010,36,徳島県,785491
2010,37,香川県,995842
2010,38,愛媛県,1431493
2010,39,高知県,764456
2010,40,福岡県,5071968
2010,41,佐賀県,849788
2010,42,長崎県,1426779
2010,43,熊本県,1817426
2010,44,大分県,1196529
2010,45,宮崎県,1135233
2010,46,鹿児島県,1706242
2010,47,沖縄県,1392818
2011,01,北海道,5488000
2011,02,青森県,1363000
2011,03,岩手県,1315000
2011,04,宮城県,2326000
2011,05,秋田県,1075000
2011,06,山形県,1162000
2011,07,福島県,1988000
2011,08,茨城県,2960000
2011,09,栃木県,2000000
2011,10,群馬県,2001000
2011,11,埼玉県,7209000
2011,12,千葉県,6217000
2011,13,東京都,13198000
2011,14,神奈川県,9060000
2011,15,新潟県,2364000
2011,16,富山県,1088000
2011,17,石川県,1167000
2011,18,福井県,803000
2011,19,山梨県,857000
2011,20,長野県,2142000
2011,21,岐阜県,2071000
2011,22,静岡県,3752000
2011,23,愛知県,7418000
2011,24,三重県,1847000
2011,25,滋賀県,1413000
2011,26,京都府,2633000
2011,27,大阪府,8863000
2011,28,兵庫県,5584000
2011,29,奈良県,1395000
2011,30,和歌山県,995000
2011,31,鳥取県,586000
2011,32,島根県,713000
2011,33,岡山県,1941000
2011,34,広島県,2858000
2011,35,山口県,1444000
2011,36,徳島県,780000
2011,37,香川県,992000
2011,38,愛媛県,1424000
2011,39,高知県,758000
2011,40,福岡県,5081000
2011,41,佐賀県,847000
2011,42,長崎県,1418000
2011,43,熊本県,1813000
2011,44,大分県,1192000
2011,45,宮崎県,1130000
2011,46,鹿児島県,1697000
2011,47,沖縄県,1402000
2012,01,北海道,5465000
2012,02,青森県,1350000
2012,03,岩手県,1306000
2012,04,宮城県,2329000
2012,05,秋田県,1063000
2012,06,山形県,1153000
2012,07,福島県,1957000
2012,08,茨城県,2947000
2012,09,栃木県,1992000
2012,10,群馬県,1994000
2012,11,埼玉県,7216000
2012,12,千葉県,6200000
2012,13,東京都,13234000
2012,14,神奈川県,9070000
2012,15,新潟県,2350000
2012,16,富山県,1083000
2012,17,石川県,1164000
2012,18,福井県,800000
2012,19,山梨県,852000
2012,20,長野県,2132000
2012,21,岐阜県,2062000
2012,22,静岡県,3739000
2012,23,愛知県,7431000
2012,24,三重県,1841000
2012,25,滋賀県,1414000
2012,26,京都府,2628000
2012,27,大阪府,8861000
2012,28,兵庫県,5575000
2012,29,奈良県,1388000
2012,30,和歌山県,988000
2012,31,鳥取県,583000
2012,32,島根県,708000
2012,33,岡山県,1937000
2012,34,広島県,2855000
2012,35,山口県,1434000
2012,36,徳島県,775000
2012,37,香川県,989000
2012,38,愛媛県,1415000
2012,39,高知県,751000
2012,40,福岡県,5089000
2012,41,佐賀県,845000
2012,42,長崎県,1408000
2012,43,熊本県,1807000
2012,44,大分県,1186000
2012,45,宮崎県,1125000
2012,46,鹿児島県,1687000
2012,47,沖縄県,1411000
2013,01,北海道,5438000
2013,02,青森県,1337000
2013,03,岩手県,1299000
2013,04,宮城県,2333000
2013,05,秋田県,1050000
2013,06,山形県,1144000
2013,07,福島県,1940000
2013,08,茨城県,2937000
2013,09,栃木県,1986000
2013,10,群馬県,1986000
2013,11,埼玉県,7228000
2013,12,千葉県,6201000
2013,13,東京都,13307000
2013,14,神奈川県,9084000
2013,15,新潟県,2336000
2013,16,富山県,1077000
2013,17,石川県,1160000
2013,18,福井県,796000
2013,19,山梨県,847000
2013,20,長野県,2122000
2013,21,岐阜県,2053000
2013,22,静岡県,3730000
2013,23,愛知県,7449000
2013,24,三重県,1833000
2013,25,滋賀県,1415000
2013,26,京都府,2622000
2013,27,大阪府,8856000
2013,28,兵庫県,5565000
2013,29,奈良県,1381000
2013,30,和歌山県,980000
2013,31,鳥取県,580000
2013,32,島根県,704000
2013,33,岡山県,1932000
2013,34,広島県,2850000
2013,35,山口県,1425000
2013,36,徳島県,769000
2013,37,香川県,985000
2013,38,愛媛県,1406000
2013,39,高知県,743000
2013,40,福岡県,5096000
2013,41,佐賀県,841000
2013,42,長崎県,1397000
2013,43,熊本県,1801000
2013,44,大分県,1180000
2013,45,宮崎県,1119000
2013,46,鹿児島県,1675000
2013,47,沖縄県,1419000
2014,01,北海道,5410000
2014,02,青森県,1323000
2014,03,岩手県,1290000
2014,04,宮城県,2335000
2014,05,秋田県,1037000
2014,06,山形県,1134000
2014,07,福島県,1927000
2014,08,茨城県,2927000
2014,09,栃木県,1980000
2014,10,群馬県,1979000
2014,11,埼玉県,7247000
2014,12,千葉県,6209000
2014,13,東京都,13399000
2014,14,神奈川県,9103000
2014,15,新潟県,2320000
2014,16,富山県,1072000
2014,17,石川県,1157000
2014,18,福井県,791000
2014,19,山梨県,841000
2014,20,長野県,2110000
2014,21,岐阜県,2043000
2014,22,静岡県,3715000
