date,region,country,state,city,avg_temperature
2019-01-01,North America,US,California,Los Angeles,53.7
2019-01-02,North America,US,California,Los Angeles,52.1
2019-01-03,North America,US,California,Los Angeles,54.3
2019-01-04,North America,US,California,Los Angeles,54.3
2019-01-05,North America,US,California,Los Angeles,54.5
2019-01-06,North America,US,California,Los Angeles,53.5
2019-01-07,North America,US,California,Los Angeles,54.5
2019-01-08,North America,US,California,Los Angeles,58.7
2019-01-09,North America,US,California,Los Angeles,57.0
2019-01-10,North America,US,California,Los Angeles,56.8
2019-01-11,North America,US,California,Los Angeles,56.0
2019-01-12,North America,US,California,Los Angeles,55.4
2019-01-13,North America,US,California,Los Angeles,54.3
2019-01-14,North America,US,California,Los Angeles,55.1
2019-01-15,North America,US,California,Los Angeles,53.7
2019-01-16,North America,US,California,Los Angeles,52.9
2019-01-17,North America,US,California,Los Angeles,60.0
2019-01-18,North America,US,California,Los Angeles,58.7
2019-01-19,North America,US,California,Los Angeles,60.8
2019-01-20,North America,US,California,Los Angeles,61.9
2019-01-21,North America,US,California,Los Angeles,58.8
2019-01-22,North America,US,California,Los Angeles,57.8
2019-01-23,North America,US,California,Los Angeles,56.4
2019-01-24,North America,US,California,Los Angeles,59.0
2019-01-25,North America,US,California,Los Angeles,61.8
2019-01-26,North America,US,California,Los Angeles,62.5
2019-01-27,North America,US,California,Los Angeles,63.3
2019-01-28,North America,US,California,Los Angeles,59.5
2019-01-29,North America,US,California,Los Angeles,60.7
2019-01-30,North America,US,California,Los Angeles,58.8
2019-01-31,North America,US,California,Los Angeles,58.8
2019-02-01,North America,US,California,Los Angeles,55.4
2019-02-02,North America,US,California,Los Angeles,56.9
2019-02-03,North America,US,California,Los Angeles,55.7
2019-02-04,North America,US,California,Los Angeles,55.9
2019-02-05,North America,US,California,Los Angeles,53.8
2019-02-06,North America,US,California,Los Angeles,49.7
2019-02-07,North America,US,California,Los Angeles,51.2
2019-02-08,North America,US,California,Los Angeles,52.5
2019-02-09,North America,US,California,Los Angeles,52.1
2019-02-10,North America,US,California,Los Angeles,52.4
2019-02-11,North America,US,California,Los Angeles,51.1
2019-02-12,North America,US,California,Los Angeles,51.9
2019-02-13,North America,US,California,Los Angeles,55.4
2019-02-14,North America,US,California,Los Angeles,56.6
2019-02-15,North America,US,California,Los Angeles,55.6
2019-02-16,North America,US,California,Los Angeles,53.4
2019-02-17,North America,US,California,Los Angeles,53.1
2019-02-18,North America,US,California,Los Angeles,51.6
2019-02-19,North America,US,California,Los Angeles,51.6
2019-02-20,North America,US,California,Los Angeles,50.4
2019-02-21,North America,US,California,Los Angeles,51.0
2019-02-22,North America,US,California,Los Angeles,50.0
2019-02-23,North America,US,California,Los Angeles,51.8
2019-02-24,North America,US,California,Los Angeles,53.8
2019-02-25,North America,US,California,Los Angeles,55.5
2019-02-26,North America,US,California,Los Angeles,54.9
2019-02-27,North America,US,California,Los Angeles,55.5
2019-02-28,North America,US,California,Los Angeles,58.1
2019-03-01,North America,US,California,Los Angeles,58.5
2019-03-02,North America,US,California,Los Angeles,57.6
2019-03-03,North America,US,California,Los Angeles,57.3
2019-03-04,North America,US,California,Los Angeles,56.8
2019-03-05,North America,US,California,Los Angeles,55.4
2019-03-06,North America,US,California,Los Angeles,58.2
2019-03-07,North America,US,California,Los Angeles,56.8
2019-03-08,North America,US,California,Los Angeles,55.2
2019-03-09,North America,US,California,Los Angeles,53.7
2019-03-10,North America,US,California,Los Angeles,53.5
2019-03-11,North America,US,California,Los Angeles,55.5
2019-03-12,North America,US,California,Los Angeles,61.6
2019-03-13,North America,US,California,Los Angeles,58.6
2019-03-14,North America,US,California,Los Angeles,59.2
2019-03-15,North America,US,California,Los Angeles,61.7
2019-03-16,North America,US,California,Los Angeles,66.5
2019-03-17,North America,US,California,Los Angeles,64.3
2019-03-18,North America,US,California,Los Angeles,64.2
2019-03-19,North America,US,California,Los Angeles,59.1
2019-03-20,North America,US,California,Los Angeles,60.5
2019-03-21,North America,US,California,Los Angeles,57.2
2019-03-22,North America,US,California,Los Angeles,56.2
2019-03-23,North America,US,California,Los Angeles,58.8
2019-03-24,North America,US,California,Los Angeles,59.0
2019-03-25,North America,US,California,Los Angeles,59.3
2019-03-26,North America,US,California,Los Angeles,59.2
2019-03-27,North America,US,California,Los Angeles,58.4
2019-03-28,North America,US,California,Los Angeles,60.6
2019-03-29,North America,US,California,Los Angeles,60.2
2019-03-30,North America,US,California,Los Angeles,62.3
2019-03-31,North America,US,California,Los Angeles,67.0
2019-04-01,North America,US,California,Los Angeles,68.8
2019-04-02,North America,US,California,Los Angeles,63.5
2019-04-03,North America,US,California,Los Angeles,60.7
2019-04-04,North America,US,California,Los Angeles,59.8
2019-04-05,North America,US,California,Los Angeles,59.8
2019-04-06,North America,US,California,Los Angeles,60.8
2019-04-07,North America,US,California,Los Angeles,62.6
2019-04-08,North America,US,California,Los Angeles,66.8
2019-04-09,North America,US,California,Los Angeles,66.8
2019-04-10,North America,US,California,Los Angeles,66.6
2019-04-11,North America,US,California,Los Angeles,65.2
2019-04-12,North America,US,California,Los Angeles,64.1
2019-04-13,North America,US,California,Los Angeles,61.9
2019-04-14,North America,US,California,Los Angeles,59.5
2019-04-15,North America,US,California,Los Angeles,56.0
2019-04-16,North America,US,California,Los Angeles,59.1
2019-04-17,North America,US,California,Los Angeles,60.6
2019-04-18,North America,US,California,Los Angeles,63.0
2019-04-19,North America,US,California,Los Angeles,59.7
2019-04-20,North America,US,California,Los Angeles,58.3
2019-04-21,North America,US,California,Los Angeles,59.4
2019-04-22,North America,US,California,Los Angeles,59.8
2019-04-23,North America,US,California,Los Angeles,60.7
2019-04-24,North America,US,California,Los Angeles,62.5
2019-04-25,North America,US,California,Los Angeles,60.8
2019-04-26,North America,US,California,Los Angeles,60.2
2019-04-27,North America,US,California,Los Angeles,59.6
2019-04-28,North America,US,California,Los Angeles,60.6
2019-04-29,North America,US,California,Los Angeles,60.7
2019-04-30,North America,US,California,Los Angeles,60.1
2019-05-01,North America,US,California,Los Angeles,60.5
2019-05-02,North America,US,California,Los Angeles,60.6
2019-05-03,North America,US,California,Los Angeles,61.5
2019-05-04,North America,US,California,Los Angeles,62.7
2019-05-05,North America,US,California,Los Angeles,61.8
2019-05-06,North America,US,California,Los Angeles,61.4
2019-05-07,North America,US,California,Los Angeles,61.7
2019-05-08,North America,US,California,Los Angeles,61.6
2019-05-09,North America,US,California,Los Angeles,61.3
2019-05-10,North America,US,California,Los Angeles,62.6
2019-05-11,North America,US,California,Los Angeles,64.0
2019-05-12,North America,US,California,Los Angeles,64.7
2019-05-13,North America,US,California,Los Angeles,63.8
2019-05-14,North America,US,California,Los Angeles,63.8
2019-05-15,North America,US,California,Los Angeles,62.5
2019-05-16,North America,US,California,Los Angeles,62.3
2019-05-17,North America,US,California,Los Angeles,62.2
2019-05-18,North America,US,California,Los Angeles,61.4
2019-05-19,North America,US,California,Los Angeles,60.8
2019-05-20,North America,US,California,Los Angeles,60.1
2019-05-21,North America,US,California,Los Angeles,60.3
2019-05-22,North America,US,California,Los Angeles,60.9
2019-05-23,North America,US,California,Los Angeles,59.5
2019-05-24,North America,US,California,Los Angeles,61.1
2019-05-25,North America,US,California,Los Angeles,60.9
2019-05-26,North America,US,California,Los Angeles,59.7
2019-05-27,North America,US,California,Los Angeles,57.9
2019-05-28,North America,US,California,Los Angeles,60.3
2019-05-29,North America,US,California,Los Angeles,62.6
2019-05-30,North America,US,California,Los Angeles,62.2
2019-05-31,North America,US,California,Los Angeles,61.4
2019-06-01,North America,US,California,Los Angeles,61.5
2019-06-02,North America,US,California,Los Angeles,61.9
2019-06-03,North America,US,California,Los Angeles,62.6
2019-06-04,North America,US,California,Los Angeles,62.4
2019-06-05,North America,US,California,Los Angeles,63.7
2019-06-06,North America,US,California,Los Angeles,63.5
2019-06-07,North America,US,California,Los Angeles,63.7
2019-06-08,North America,US,California,Los Angeles,64.8
2019-06-09,North America,US,California,Los Angeles,65.7
2019-06-10,North America,US,California,Los Angeles,67.1
2019-06-11,North America,US,California,Los Angeles,68.3
2019-06-12,North America,US,California,Los Angeles,68.4
2019-06-13,North America,US,California,Los Angeles,63.4
2019-06-14,North America,US,California,Los Angeles,63.7
2019-06-15,North America,US,California,Los Angeles,65.3
2019-06-16,North America,US,California,Los Angeles,65.0
2019-06-17,North America,US,California,Los Angeles,64.5
2019-06-18,North America,US,California,Los Angeles,65.5
2019-06-19,North America,US,California,Los Angeles,66.8
2019-06-20,North America,US,California,Los Angeles,65.6
2019-06-21,North America,US,California,Los Angeles,65.3
2019-06-22,North America,US,California,Los Angeles,66.2
2019-06-23,North America,US,California,Los Angeles,65.9
2019-06-24,North America,US,California,Los Angeles,63.2
2019-06-25,North America,US,California,Los Angeles,64.1
2019-06-26,North America,US,California,Los Angeles,63.9
2019-06-27,North America,US,California,Los Angeles,65.4
2019-06-28,North America,US,California,Los Angeles,67.0
2019-06-29,North America,US,California,Los Angeles,67.7
2019-06-30,North America,US,California,Los Angeles,69.3
2019-07-01,North America,US,California,Los Angeles,68.7
2019-07-02,North America,US,California,Los Angeles,68.2
2019-07-03,North America,US,California,Los Angeles,68.8
2019-07-04,North America,US,California,Los Angeles,68.0
2019-07-05,North America,US,California,Los Angeles,66.9
2019-07-06,North America,US,California,Los Angeles,66.5
2019-07-07,North America,US,California,Los Angeles,66.2
2019-07-08,North America,US,California,Los Angeles,67.6
2019-07-09,North America,US,California,Los Angeles,67.7
2019-07-10,North America,US,California,Los Angeles,66.8
2019-07-11,North America,US,California,Los Angeles,67.6
2019-07-12,North America,US,California,Los Angeles,67.9
2019-07-13,North America,US,California,Los Angeles,68.3
2019-07-14,North America,US,California,Los Angeles,67.5
2019-07-15,North America,US,California,Los Angeles,66.3
2019-07-16,North America,US,California,Los Angeles,64.6
2019-07-17,North America,US,California,Los Angeles,68.2
2019-07-18,North America,US,California,Los Angeles,68.5
2019-07-19,North America,US,California,Los Angeles,66.0
2019-07-20,North America,US,California,Los Angeles,67.8
2019-07-21,North America,US,California,Los Angeles,66.8
2019-07-22,North America,US,California,Los Angeles,67.1
2019-07-23,North America,US,California,Los Angeles,69.6
2019-07-24,North America,US,California,Los Angeles,72.9
2019-07-25,North America,US,California,Los Angeles,75.0
2019-07-26,North America,US,California,Los Angeles,73.8
2019-07-27,North America,US,California,Los Angeles,71.4
2019-07-28,North America,US,California,Los Angeles,69.0
2019-07-29,North America,US,California,Los Angeles,66.8
2019-07-30,North America,US,California,Los Angeles,67.6
2019-07-31,North America,US,California,Los Angeles,68.0
2019-08-01,North America,US,California,Los Angeles,66.8
2019-08-02,North America,US,California,Los Angeles,68.1
2019-08-03,North America,US,California,Los Angeles,68.5
2019-08-04,North America,US,California,Los Angeles,67.8
2019-08-05,North America,US,California,Los Angeles,66.1
2019-08-06,North America,US,California,Los Angeles,67.2
2019-08-07,North America,US,California,Los Angeles,67.0
2019-08-08,North America,US,California,Los Angeles,64.0
2019-08-09,North America,US,California,Los Angeles,65.1
2019-08-10,North America,US,California,Los Angeles,66.4
2019-08-11,North America,US,California,Los Angeles,66.6
2019-08-12,North America,US,California,Los Angeles,65.8
2019-08-13,North America,US,California,Los Angeles,65.8
2019-08-14,North America,US,California,Los Angeles,64.7
2019-08-15,North America,US,California,Los Angeles,67.4
2019-08-16,North America,US,California,Los Angeles,68.2
2019-08-17,North America,US,California,Los Angeles,68.8
2019-08-18,North America,US,California,Los Angeles,69.6
2019-08-19,North America,US,California,Los Angeles,69.6
2019-08-20,North America,US,California,Los Angeles,70.9
2019-08-21,North America,US,California,Los Angeles,72.6
2019-08-22,North America,US,California,Los Angeles,72.9
2019-08-23,North America,US,California,Los Angeles,72.1
2019-08-24,North America,US,California,Los Angeles,73.2
2019-08-25,North America,US,California,Los Angeles,72.8
2019-08-26,North America,US,California,Los Angeles,71.9
2019-08-27,North America,US,California,Los Angeles,74.1
2019-08-28,North America,US,California,Los Angeles,73.7
2019-08-29,North America,US,California,Los Angeles,73.0
2019-08-30,North America,US,California,Los Angeles,75.8
2019-08-31,North America,US,California,Los Angeles,73.9
2019-09-01,North America,US,California,Los Angeles,72.7
2019-09-02,North America,US,California,Los Angeles,75.3
2019-09-03,North America,US,California,Los Angeles,75.2
2019-09-04,North America,US,California,Los Angeles,77.0
2019-09-05,North America,US,California,Los Angeles,77.1
2019-09-06,North America,US,California,Los Angeles,76.9
2019-09-07,North America,US,California,Los Angeles,75.8
2019-09-08,North America,US,California,Los Angeles,71.2
2019-09-09,North America,US,California,Los Angeles,71.9
2019-09-10,North America,US,California,Los Angeles,70.6
2019-09-11,North America,US,California,Los Angeles,71.1
2019-09-12,North America,US,California,Los Angeles,72.2
2019-09-13,North America,US,California,Los Angeles,73.4
2019-09-14,North America,US,California,Los Angeles,75.8
2019-09-15,North America,US,California,Los Angeles,73.3
2019-09-16,North America,US,California,Los Angeles,71.2
2019-09-17,North America,US,California,Los Angeles,71.7
2019-09-18,North America,US,California,Los Angeles,71.6
2019-09-19,North America,US,California,Los Angeles,71.3
2019-09-20,North America,US,California,Los Angeles,70.4
2019-09-21,North America,US,California,Los Angeles,71.7
2019-09-22,North America,US,California,Los Angeles,74.2
2019-09-23,North America,US,California,Los Angeles,71.6
2019-09-24,North America,US,California,Los Angeles,68.4
2019-09-25,North America,US,California,Los Angeles,73.1
2019-09-26,North America,US,California,Los Angeles,73.3
2019-09-27,North America,US,California,Los Angeles,71.1
2019-09-28,North America,US,California,Los Angeles,69.4
2019-09-29,North America,US,California,Los Angeles,67.0
2019-09-30,North America,US,California,Los Angeles,65.8
2019-10-01,North America,US,California,Los Angeles,66.7
2019-10-02,North America,US,California,Los Angeles,65.6
2019-10-03,North America,US,California,Los Angeles,63.9
2019-10-04,North America,US,California,Los Angeles,64.4
2019-10-05,North America,US,California,Los Angeles,68.2
2019-10-06,North America,US,California,Los Angeles,68.9
2019-10-07,North America,US,California,Los Angeles,69.2
2019-10-08,North America,US,California,Los Angeles,67.1
2019-10-09,North America,US,California,Los Angeles,66.7
2019-10-10,North America,US,California,Los Angeles,68.3
2019-10-11,North America,US,California,Los Angeles,72.3
2019-10-12,North America,US,California,Los Angeles,71.5
2019-10-13,North America,US,California,Los Angeles,66.5
2019-10-14,North America,US,California,Los Angeles,66.8
2019-10-15,North America,US,California,Los Angeles,66.6
2019-10-16,North America,US,California,Los Angeles,70.4
2019-10-17,North America,US,California,Los Angeles,68.6
2019-10-18,North America,US,California,Los Angeles,67.1
2019-10-19,North America,US,California,Los Angeles,66.9
2019-10-20,North America,US,California,Los Angeles,68.4
2019-10-21,North America,US,California,Los Angeles,77.2
2019-10-22,North America,US,California,Los Angeles,77.5
2019-10-23,North America,US,California,Los Angeles,75.0
2019-10-24,North America,US,California,Los Angeles,77.0
2019-10-25,North America,US,California,Los Angeles,82.4
2019-10-26,North America,US,California,Los Angeles,75.6
2019-10-27,North America,US,California,Los Angeles,68.6
2019-10-28,North America,US,California,Los Angeles,65.7
2019-10-29,North America,US,California,Los Angeles,63.8
2019-10-30,North America,US,California,Los Angeles,64.9
2019-10-31,North America,US,California,Los Angeles,65.8
2019-11-01,North America,US,California,Los Angeles,66.7
2019-11-02,North America,US,California,Los Angeles,64.8
2019-11-03,North America,US,California,Los Angeles,64.6
2019-11-04,North America,US,California,Los Angeles,64.2
2019-11-05,North America,US,California,Los Angeles,63.4
2019-11-06,North America,US,California,Los Angeles,63.4
2019-11-07,North America,US,California,Los Angeles,63.1
2019-11-08,North America,US,California,Los Angeles,65.5
2019-11-09,North America,US,California,Los Angeles,72.0
2019-11-10,North America,US,California,Los Angeles,65.8
2019-11-11,North America,US,California,Los Angeles,64.2
2019-11-12,North America,US,California,Los Angeles,63.7
2019-11-13,North America,US,California,Los Angeles,63.0
2019-11-14,North America,US,California,Los Angeles,62.3
2019-11-15,North America,US,California,Los Angeles,63.0
2019-11-16,North America,US,California,Los Angeles,63.0
2019-11-17,North America,US,California,Los Angeles,69.8
2019-11-18,North America,US,California,Los Angeles,77.0
2019-11-19,North America,US,California,Los Angeles,69.6
2019-11-20,North America,US,California,Los Angeles,60.8
2019-11-21,North America,US,California,Los Angeles,58.1
2019-11-22,North America,US,California,Los Angeles,61.5
2019-11-23,North America,US,California,Los Angeles,64.4
2019-11-24,North America,US,California,Los Angeles,64.7
2019-11-25,North America,US,California,Los Angeles,61.1
2019-11-26,North America,US,California,Los Angeles,62.6
2019-11-27,North America,US,California,Los Angeles,58.5
2019-11-28,North America,US,California,Los Angeles,52.1
2019-11-29,North America,US,California,Los Angeles,49.0
2019-11-30,North America,US,California,Los Angeles,53.3
2019-12-01,North America,US,California,Los Angeles,56.9
2019-12-02,North America,US,California,Los Angeles,57.7
2019-12-03,North America,US,California,Los Angeles,61.0
2019-12-04,North America,US,California,Los Angeles,60.8
2019-12-05,North America,US,California,Los Angeles,60.2
2019-12-06,North America,US,California,Los Angeles,61.3
2019-12-07,North America,US,California,Los Angeles,62.8
2019-12-08,North America,US,California,Los Angeles,62.6
2019-12-09,North America,US,California,Los Angeles,59.4
2019-12-10,North America,US,California,Los Angeles,59.4
2019-12-11,North America,US,California,Los Angeles,58.3
2019-12-12,North America,US,California,Los Angeles,60.7
2019-12-13,North America,US,California,Los Angeles,60.3
2019-12-14,North America,US,California,Los Angeles,61.7
2019-12-15,North America,US,California,Los Angeles,60.3
2019-12-16,North America,US,California,Los Angeles,57.4
2019-12-17,North America,US,California,Los Angeles,59.2
2019-12-18,North America,US,California,Los Angeles,57.7
2019-12-19,North America,US,California,Los Angeles,55.7
2019-12-20,North America,US,California,Los Angeles,61.7
2019-12-21,North America,US,California,Los Angeles,64.7
2019-12-22,North America,US,California,Los Angeles,61.8
2019-12-23,North America,US,California,Los Angeles,56.9
2019-12-24,North America,US,California,Los Angeles,55.2
2019-12-25,North America,US,California,Los Angeles,54.3
2019-12-26,North America,US,California,Los Angeles,52.6
2019-12-27,North America,US,California,Los Angeles,53.5
2019-12-28,North America,US,California,Los Angeles,54.8
2019-12-29,North America,US,California,Los Angeles,55.0
2019-12-30,North America,US,California,Los Angeles,57.1
2019-12-31,North America,US,California,Los Angeles,61.4
