順位,ハード名,略称,メーカー,発売日,推定累計販売台数_万台,備考
1位,ニンテンドーDS,DS,任天堂,2004年,"3,286",
2位,ゲームボーイ,GB,任天堂,1989年,"3,247",メーカー公式発表データ
3位,NINTENDO SWITCH,SWITCH,任天堂,2017年,"2,579",
4位,ニンテンドー3DS,3DS,任天堂,2011年,"2,461",
5位,プレイステーション2,PS2,SCE,2000年,"2,198",
6位,プレイステーション・ポータブル,PSP,SCE,2004年,"1,969",
7位,プレイステーション,PS,SCE,1994年,"1,941",出荷台数。東洋大学学術情報リポジトリより
8位,ファミリーコンピュータ,FC,任天堂,1983年,"1,935",メーカー公式発表データ
9位,スーパーファミコン,SFC,任天堂,1990年,"1,717",メーカー公式発表データ
10位,ゲームボーイアドバンス,GBA,任天堂,2001年,"1,552",
11位,Wii,Wii,任天堂,2006年,"1,274",
12位,プレイステーション3,PS3,SCE,2006年,"1,027",
13位,プレイステーション4,PS4,SCE,2014年,939,
14位,プレイステーション Vita,Vita,SCE,2011年,586,
15位,PCエンジン,PC,NEC/ホームエレクトロニクス,1987年,584,出荷台数。東洋大学学術情報リポジトリより
16位,セガサターン,SS,セガ・エンタープライゼス,1994年,575,出荷台数。東洋大学学術情報リポジトリより
17位,ニンテンドウ64,N64,任天堂,1996年,554,メーカー公式発表データ
18位,ニンテンドー ゲームキューブ,GC,任天堂,2001年,400,
19位,ワンダースワン,WS,バンダイ,1999年,350,メーカー（株式会社コト）公式発表データ
20位,Wii U,Wii U,任天堂,2012年,330,
21位,メガドライブ,MD,セガ・エンタープライゼス,1988年,318,出荷台数。東洋大学学術情報リポジトリより
22位,ドリームキャスト,DC,エンタープライゼス,1998年,253,出荷台数。東洋大学学術情報リポジトリより
23位,プレイステーション5,PS5,SIE,2020年,189,
24位,ゲームギア,GG,セガ・エンタープライゼス,1990年,178,ソース不明
25位,Xbox 360,Xbox 360,マイクロソフト,2005年,161,
26位,3DO REAL,3DO,松下電器,1994年,75,出荷台数。東洋大学学術情報リポジトリより
27位,ネオジオポケット,NGP,SNK,1998年,50,ソース不明
28位,Xbox,Xbox,マイクロソフト,2002年,47,
29位,Xbox Series X/S,Xbox Series X/S,マイクロソフト,2020年,31,
30位,PC-FX,PCFX,NEC/ホームエレクトロニクス,1994年,30,出荷台数。東洋大学学術情報リポジトリより
31位,バーチャルボーイ,VB,任天堂,1995年,15,ソース不明
32位,Xbox One,Xbox One,マイクロソフト,2014年,11,
