"都道府県コード","都道府県名","店舗数"
01,北海道,957
02,青森県,49
03,岩手県,131
04,宮城県,390
05,秋田県,84
06,山形県,173
07,福島県,419
08,茨城県,632
09,栃木県,422
10,群馬県,456
11,埼玉県,1141
12,千葉県,1054
13,東京都,2481
14,神奈川県,1361
15,新潟県,407
16,富山県,130
17,石川県,125
18,福井県,67
19,山梨県,206
20,長野県,442
21,岐阜県,168
22,静岡県,703
23,愛知県,1015
24,三重県,138
25,滋賀県,228
26,京都府,321
27,大阪府,1135
28,兵庫県,684
29,奈良県,140
30,和歌山県,77
31,鳥取県,16
32,島根県,43
33,岡山県,297
34,広島県,566
35,山口県,312
36,徳島県,90
37,香川県,101
38,愛媛県,98
39,高知県,34
40,福岡県,938
41,佐賀県,185
42,長崎県,175
43,熊本県,309
44,大分県,157
45,宮崎県,182
46,鹿児島県,184
47,沖縄県,
