地域名,男女,配偶関係,00_総数,15歳未満,15～64歳,65歳以上,年齢「不詳」
14130_川崎市,1_男,0_総数,"775,772","97,260","519,940","134,157","24,415"
14130_川崎市,1_男,1_未婚,"306,464","97,260","197,524","11,680",-
14130_川崎市,1_男,2_有配偶,"350,308",-,"253,202","97,106",-
14130_川崎市,1_男,3_死別,"12,201",-,"1,644","10,557",-
14130_川崎市,1_男,4_離別,"17,738",-,"11,722","6,016",-
14130_川崎市,1_男,5_配偶関係「不詳」,"89,061",-,"55,848","8,798","24,415"
14130_川崎市,2_女,0_総数,"762,490","92,230","481,331","166,994","21,935"
14130_川崎市,2_女,1_未婚,"258,393","92,230","158,009","8,154",-
14130_川崎市,2_女,2_有配偶,"353,979",-,"270,172","83,807",-
14130_川崎市,2_女,3_死別,"57,062",-,"4,652","52,410",-
14130_川崎市,2_女,4_離別,"30,298",-,"19,524","10,774",-
14130_川崎市,2_女,5_配偶関係「不詳」,"62,758",-,"28,974","11,849","21,935"
