地域名,男女,配偶関係,00_総数,15歳未満,15～64歳,65歳以上,年齢「不詳」
14100_横浜市,1_男,0_総数,"1,867,305","226,591","1,179,199","407,795","53,720"
14100_横浜市,1_男,1_未婚,"733,735","226,591","476,161","30,983",-
14100_横浜市,1_男,2_有配偶,"901,911",-,"593,765","308,146",-
14100_横浜市,1_男,3_死別,"38,204",-,"4,410","33,794",-
14100_横浜市,1_男,4_離別,"47,835",-,"31,213","16,622",-
14100_横浜市,1_男,5_配偶関係「不詳」,"145,620",-,"73,650","18,250","53,720"
14100_横浜市,2_女,0_総数,"1,910,186","215,219","1,137,110","512,788","45,069"
14100_横浜市,2_女,1_未婚,"620,848","215,219","380,090","25,539",-
14100_横浜市,2_女,2_有配偶,"914,576",-,"648,056","266,520",-
14100_横浜市,2_女,3_死別,"176,052",-,"13,230","162,822",-
14100_横浜市,2_女,4_離別,"86,393",-,"56,163","30,230",-
14100_横浜市,2_女,5_配偶関係「不詳」,"112,317",-,"39,571","27,677","45,069"
