地域名,男女,配偶関係,00_総数,15歳未満,15～64歳,65歳以上,年齢「不詳」
14150_相模原市,1_男,0_総数,"362,193","42,298","224,715","83,633","11,547"
14150_相模原市,1_男,1_未婚,"138,735","42,298","91,540","4,897",-
14150_相模原市,1_男,2_有配偶,"170,212",-,"106,340","63,872",-
14150_相模原市,1_男,3_死別,"8,021",-,908,"7,113",-
14150_相模原市,1_男,4_離別,"10,519",-,"7,080","3,439",-
14150_相模原市,1_男,5_配偶関係「不詳」,"34,706",-,"18,847","4,312","11,547"
14150_相模原市,2_女,0_総数,"363,300","40,234","211,145","101,603","10,318"
14150_相模原市,2_女,1_未婚,"113,747","40,234","70,278","3,235",-
14150_相模原市,2_女,2_有配偶,"172,662",-,"116,928","55,734",-
14150_相模原市,2_女,3_死別,"32,833",-,"2,623","30,210",-
14150_相模原市,2_女,4_離別,"17,702",-,"11,766","5,936",-
14150_相模原市,2_女,5_配偶関係「不詳」,"26,356",-,"9,550","6,488","10,318"
