年,オーディオレコード,音楽ビデオ,音楽ソフト計,音楽配信売上
2005,367237,54973,422210,34283
2006,351564,56844,408408,53478
2007,333290,57823,391113,75487
2008,296149,65626,361775,90547
2009,249632,66883,316515,90982
2010,224998,58614,283612,85990
2011,211653,70197,281850,71961
2012,227723,83106,310828,54298
2013,198460,72008,270468,41661
2014,186443,67733,254176,43699
2015,182566,71883,254449,47073
2016,177707,67950,245657,52886
2017,173853,58195,232048,57297
2018,157611,82726,240337,64466
2019,152773,76357,229129,70628
2020,129871,64529,194400,78255
2021,127992,65646,193638,89538
